NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
021;1;1;1:57.491;0;;42.157;0;39.770;0;35.564;0;120.3;1:57.491;11:06:31.243;0:42.157;0:39.770;0:35.564;199.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;42.157;39.770;35.564;31.119;31.119;11.038;42.157;21.234;1:03.391;18.536;1:21.927;14.316;1:36.243;21.248;1:57.491;
021;1;2;2:04.632;0;;37.920;0;39.029;0;47.683;0;113.4;4:02.123;11:08:35.875;0:37.920;0:39.029;0:47.683;208.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FCY;37.920;39.029;47.683;25.771;25.771;12.149;37.920;22.502;1:00.422;16.527;1:16.949;25.608;1:42.557;22.075;2:04.632;
021;1;3;2:11.603;0;;49.131;0;44.371;0;38.101;0;107.4;6:13.726;11:10:47.478;0:49.131;0:44.371;0:38.101;162.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;49.131;44.371;38.101;37.059;37.059;12.072;49.131;27.842;1:16.973;16.529;1:33.502;16.970;1:50.472;21.131;2:11.603;
021;1;4;1:48.130;0;;38.642;0;35.730;0;33.758;0;130.7;8:01.856;11:12:35.608;0:38.642;0:35.730;0:33.758;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;38.642;35.730;33.758;27.454;27.454;11.188;38.642;20.030;58.672;15.700;1:14.372;13.433;1:27.805;20.325;1:48.130;
021;1;5;1:44.865;0;;35.155;0;35.302;0;34.408;0;134.8;9:46.721;11:14:20.473;0:35.155;0:35.302;0:34.408;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.155;35.302;34.408;24.499;24.499;10.656;35.155;19.713;54.868;15.589;1:10.457;13.644;1:24.101;20.764;1:44.865;
021;1;6;1:43.313;0;;34.962;0;35.136;0;33.215;0;136.8;11:30.034;11:16:03.786;0:34.962;0:35.136;0:33.215;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.962;35.136;33.215;24.413;24.413;10.549;34.962;19.643;54.605;15.493;1:10.098;13.208;1:23.306;20.007;1:43.313;
021;1;7;1:42.766;0;;34.761;0;34.615;0;33.390;0;137.5;13:12.800;11:17:46.552;0:34.761;0:34.615;0:33.390;211.4;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.761;34.615;33.390;24.537;24.537;10.224;34.761;19.573;54.334;15.042;1:09.376;13.416;1:22.792;19.974;1:42.766;
021;1;8;1:43.199;0;;35.286;0;34.716;0;33.197;0;136.9;14:55.999;11:19:29.751;0:35.286;0:34.716;0:33.197;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.286;34.716;33.197;25.089;25.089;10.197;35.286;19.596;54.882;15.120;1:10.002;13.257;1:23.259;19.940;1:43.199;
021;1;9;1:42.389;0;;35.086;0;34.328;0;32.975;0;138.0;16:38.388;11:21:12.140;0:35.086;0:34.328;0:32.975;216.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.086;34.328;32.975;24.717;24.717;10.369;35.086;19.593;54.679;14.735;1:09.414;13.023;1:22.437;19.952;1:42.389;
021;1;10;1:42.186;0;;35.076;0;34.200;0;32.910;0;138.3;18:20.574;11:22:54.326;0:35.076;0:34.200;0:32.910;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.076;34.200;32.910;25.022;25.022;10.054;35.076;19.335;54.411;14.865;1:09.276;12.942;1:22.218;19.968;1:42.186;
021;1;11;1:41.618;0;;34.775;0;33.955;0;32.888;2;139.1;20:02.192;11:24:35.944;0:34.775;0:33.955;0:32.888;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.775;33.955;32.888;24.614;24.614;10.161;34.775;19.368;54.143;14.587;1:08.730;12.974;1:21.704;19.914;1:41.618;
021;1;12;1:41.472;0;;34.456;2;34.058;0;32.958;0;139.3;21:43.664;11:26:17.416;0:34.456;0:34.058;0:32.958;209.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.456;34.058;32.958;24.258;24.258;10.198;34.456;19.352;53.808;14.706;1:08.514;13.124;1:21.638;19.834;1:41.472;
021;1;13;1:41.337;2;;34.477;0;33.908;2;32.952;0;139.4;23:25.001;11:27:58.753;0:34.477;0:33.908;0:32.952;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.477;33.908;32.952;24.317;24.317;10.160;34.477;19.288;53.765;14.620;1:08.385;13.163;1:21.548;19.789;1:41.337;
