TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1760886320;10/19/2025 3:05:20 PM;12.07;14.9;82.91;977.6;2.52;254;0;
1760886383;10/19/2025 3:06:23 PM;12.06;14.8;83.15;977.7;0.36;26;0;
1760886445;10/19/2025 3:07:25 PM;12.13;14.8;82.63;977.7;2.16;173;0;
1760886508;10/19/2025 3:08:28 PM;12.13;14.8;82.6;977.7;2.52;297;0;
1760886571;10/19/2025 3:09:31 PM;12.19;14.6;82.69;977.7;2.52;208;0;
1760886633;10/19/2025 3:10:33 PM;12.22;14.6;82.45;977.8;4.32;272;0;
1760886696;10/19/2025 3:11:36 PM;12.22;14.5;82.16;977.7;4.68;308;0;
1760886759;10/19/2025 3:12:39 PM;12.19;14.5;81.91;977.8;2.16;305;0;
1760886821;10/19/2025 3:13:41 PM;12.23;14.5;82.16;977.9;2.52;331;0;
1760886884;10/19/2025 3:14:44 PM;12.22;14.6;82.18;977.8;4.32;294;0;
1760886947;10/19/2025 3:15:47 PM;12.21;14.6;81.85;977.9;5.4;302;0;
1760887010;10/19/2025 3:16:50 PM;12.24;14.5;82.06;977.9;4.32;290;0;
1760887072;10/19/2025 3:17:52 PM;12.25;14.5;82.1;977.9;2.16;284;0;
1760887135;10/19/2025 3:18:55 PM;12.24;14.5;81.85;977.9;1.8;333;0;
1760887198;10/19/2025 3:19:58 PM;12.22;14.5;82.14;978;3.24;176;0;
1760887260;10/19/2025 3:21:00 PM;12.21;14.5;82.08;978;1.8;258;0;
1760887323;10/19/2025 3:22:03 PM;12.18;14.4;82.3;978.1;3.24;178;0;
1760887384;10/19/2025 3:23:04 PM;12.14;14.4;81.94;978.2;5.4;182;0;
1760887448;10/19/2025 3:24:08 PM;12.22;14.4;82.17;978.2;1.44;261;0;
1760887511;10/19/2025 3:25:11 PM;12.23;14.4;82.07;978.3;4.32;310;0;
1760887574;10/19/2025 3:26:14 PM;12.21;14.4;81.79;978.3;4.68;307;0;
1760887636;10/19/2025 3:27:16 PM;12.19;14.4;81.94;978.3;2.52;318;0;
1760887699;10/19/2025 3:28:19 PM;12.17;14.3;81.71;978.4;3.24;186;0;
1760887762;10/19/2025 3:29:22 PM;12.16;14.2;82;978.4;3.6;272;0;
1760887824;10/19/2025 3:30:24 PM;12.12;14.2;81.58;978.5;3.96;281;0;
1760887887;10/19/2025 3:31:27 PM;12.11;14.2;81.59;978.5;2.16;214;0;
1760887950;10/19/2025 3:32:30 PM;12.06;14.2;81.5;978.5;2.16;16;0;
1760888013;10/19/2025 3:33:33 PM;11.99;14.2;81.48;978.5;5.04;270;0;
1760888075;10/19/2025 3:34:35 PM;11.93;14.2;81.69;978.6;4.32;271;0;
1760888138;10/19/2025 3:35:38 PM;11.88;14.2;82.13;978.6;1.8;178;0;
1760888201;10/19/2025 3:36:41 PM;11.83;14.2;81.62;978.7;2.52;278;0;
1760888263;10/19/2025 3:37:43 PM;11.8;14.1;81.82;978.7;2.88;292;0;
1760888326;10/19/2025 3:38:46 PM;11.77;14.2;81.89;978.7;3.6;258;0;
1760888389;10/19/2025 3:39:49 PM;11.77;14.2;81.83;978.7;2.88;291;0;
1760888451;10/19/2025 3:40:51 PM;11.74;14.2;81.59;978.7;3.96;325;0;
1760888514;10/19/2025 3:41:54 PM;11.68;14.1;81.76;978.8;2.88;18;0;
1760888577;10/19/2025 3:42:57 PM;11.67;14.1;81.71;978.7;5.04;316;0;
1760888639;10/19/2025 3:43:59 PM;11.63;14.1;81.98;978.8;0.72;315;0;
1760888702;10/19/2025 3:45:02 PM;11.62;14;81.8;978.9;6.12;313;0;
1760888765;10/19/2025 3:46:05 PM;11.58;14;81.97;978.8;3.24;305;0;
1760888828;10/19/2025 3:47:08 PM;11.55;14;81.55;978.8;3.96;306;0;
1760888889;10/19/2025 3:48:09 PM;11.52;13.9;81.5;979;4.32;310;0;
1760888953;10/19/2025 3:49:13 PM;11.53;13.9;81.75;978.9;3.6;300;0;
