NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;23;1:41.003;12;1:41.012;10;1:41.112;7;1:41.282;8;1:41.336;6;1:41.430;11;1:41.714;13;1:41.766;9;1:42.299;5;1:42.802;18;1:41.575;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;23;1:42.343;11;1:42.497;12;1:42.526;13;1:42.760;8;1:43.309;7;1:43.389;9;1:43.860;6;1:44.399;10;1:45.049;5;1:47.256;4;1:43.738;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;23;1:43.460;9;1:43.947;10;1:43.981;8;1:44.095;12;1:44.258;7;1:44.619;13;1:44.815;11;1:44.886;5;1:45.273;6;1:47.401;18;1:44.673;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;17;1:42.150;12;1:42.361;9;1:42.369;7;1:42.530;10;1:42.762;11;1:42.924;6;1:43.314;8;1:43.584;5;1:45.841;13;1:46.127;14;1:43.396;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;23;1:40.801;13;1:41.296;12;1:41.494;18;1:41.555;6;1:41.641;9;1:41.672;11;1:41.780;8;1:42.500;5;1:42.639;7;1:43.456;4;1:41.883;
8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Tom;Rudnai;23;1:44.255;12;1:44.473;11;1:44.532;8;1:44.534;13;1:44.619;10;1:45.736;7;1:45.787;9;1:46.484;5;1:47.028;6;1:48.204;4;1:45.565;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;23;1:42.811;12;1:43.064;8;1:43.326;11;1:43.606;13;1:43.630;7;1:44.247;5;1:44.757;6;1:45.415;9;1:45.945;4;1:48.252;18;1:44.505;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;23;1:40.747;13;1:40.892;10;1:41.034;11;1:41.083;9;1:41.099;8;1:41.562;6;1:41.711;12;1:41.763;18;1:42.245;7;1:42.414;5;1:41.455;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;23;1:43.844;13;1:44.018;11;1:44.291;12;1:44.317;9;1:44.601;10;1:44.720;8;1:46.008;7;1:46.459;5;1:46.658;6;1:46.947;18;1:45.186;
20;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Ramon;Llano;22;1:48.350;17;1:48.733;10;1:50.247;9;1:50.724;8;1:51.307;11;1:52.072;7;1:53.816;5;1:54.132;6;1:54.516;12;1:56.657;4;1:52.055;
